,epoch,good prediction
593,593,14952
594,594,15406
595,595,15219
596,596,15690
597,597,14463
598,598,15367
599,599,15149
600,600,15184
601,601,15418
602,602,15192
603,603,15090
604,604,15199
605,605,15004
606,606,15484
607,607,15006
608,608,15519
609,609,15436
610,610,14996
611,611,15126
612,612,15581
613,613,15417
614,614,15098
615,615,15186
616,616,15630
617,617,14632
618,618,15063
619,619,15395
620,620,15889
621,621,15382
622,622,15284
623,623,15535
624,624,15418
625,625,15147
626,626,15311
627,627,15544
628,628,15150
629,629,15636
630,630,15077
631,631,15215
632,632,14531
633,633,14788
634,634,15508
635,635,15637
636,636,15456
637,637,15618
638,638,15395
639,639,15308
640,640,14722
641,641,15573
642,642,15088
643,643,15041
644,644,15642
645,645,15574
646,646,15842
647,647,15178
648,648,15594
649,649,15690
650,650,15307
651,651,15263
652,652,15588
653,653,15734
654,654,15388
655,655,15919
656,656,14805
657,657,15265
658,658,13987
659,659,14624
660,660,14268
661,661,15200
662,662,14594
663,663,15344
664,664,14989
665,665,14147
666,666,14265
667,667,13942
668,668,14269
669,669,13942
670,670,13913
671,671,14231
672,672,14569
673,673,14282
674,674,14565
675,675,13759
676,676,14726
677,677,14299
678,678,13894
679,679,14201
680,680,14531
681,681,13979
682,682,14328
683,683,14011
684,684,14762
685,685,14936
686,686,15115
687,687,15033
688,688,13719
689,689,14494
690,690,15564
691,691,15084
692,692,14283
693,693,14399
694,694,14917
695,695,14468
696,696,14740
697,697,14700
698,698,13986
699,699,14133
700,700,14276
701,701,14328
702,702,15208
703,703,14939
704,704,14519
705,705,14740
706,706,15218
707,707,13880
708,708,14376
709,709,15173
710,710,14672
711,711,14556
712,712,14956
713,713,15070
714,714,15253
715,715,15914
716,716,14447
717,717,14611
718,718,14698
719,719,14497
720,720,15263
721,721,14628
722,722,15101
723,723,14744
724,724,14637
725,725,14305
726,726,15386
727,727,15084
728,728,14093
729,729,14130
730,730,14735
731,731,13972
732,732,15345
733,733,15352
734,734,15455
735,735,14783
736,736,14865
737,737,15447
738,738,15122
739,739,14428
740,740,15427
741,741,14726
742,742,14747
743,743,14448
744,744,15250
745,745,14110
746,746,14575
747,747,14498
748,748,14495
749,749,14897
750,750,14316
751,751,15002
752,752,14454
753,753,14569
754,754,14011
755,755,14838
756,756,14866
757,757,15197
758,758,14417
759,759,15510
760,760,14822
761,761,15517
762,762,15694
763,763,15307
764,764,15267
765,765,15091
766,766,15337
767,767,14346
768,768,15826
769,769,15006
770,770,15188
771,771,14975
772,772,14222
773,773,14504
774,774,15227
775,775,15187
776,776,15455
777,777,15450
778,778,15142
779,779,15120
780,780,15044
781,781,15348
782,782,15162
783,783,15670
784,784,14425
785,785,15832
786,786,14581
787,787,12326
788,788,13281
789,789,13379
790,790,13980
791,791,13274
792,792,13680
793,793,13599
794,794,13868
795,795,14589
796,796,14707
797,797,14266
798,798,14161
799,799,14584
800,800,13971
801,801,14202
802,802,13361
803,803,14333
804,804,13795
805,805,13581
806,806,13562
807,807,14642
808,808,14801
809,809,12558
810,810,13929
811,811,13619
812,812,14362
813,813,14360
814,814,13446
815,815,15037
816,816,14176
817,817,14939
818,818,15023
819,819,14587
820,820,14488
821,821,14946
822,822,15584
823,823,15083
824,824,15415
825,825,15293
826,826,15733
827,827,15367
828,828,13790
829,829,14542
830,830,14179
831,831,13763
832,832,14080
833,833,14689
834,834,12962
835,835,14079
836,836,13575
837,837,14388
838,838,14380
839,839,14402
840,840,13686
841,841,12767
842,842,13327
843,843,14289
844,844,13858
845,845,13456
846,846,14824
847,847,13913
848,848,14162
849,849,14417
850,850,13417
851,851,15181
852,852,15041
853,853,15102
854,854,15164
855,855,15383
856,856,14494
857,857,14533
858,858,15205
859,859,15075
860,860,14547
861,861,15059
862,862,14558
863,863,15447
864,864,15058
865,865,15344
866,866,15199
867,867,15092
868,868,15253
869,869,15119
870,870,15004
871,871,15597
872,872,15177
873,873,14952
874,874,15180
875,875,15413
876,876,14614
877,877,15864
878,878,15132
879,879,15780
880,880,14961
881,881,15392
882,882,14980
883,883,15453
884,884,14701
885,885,14994
886,886,15069
887,887,13578
888,888,15089
889,889,14062
890,890,14800
891,891,14374
892,892,14456
893,893,15459
894,894,14745
895,895,14503
896,896,14315
897,897,14233
898,898,13984
899,899,15354
900,900,15743
901,901,15129
902,902,14841
903,903,15681
904,904,15438
905,905,15123
906,906,15040
907,907,14500
908,908,14634
909,909,15532
910,910,15912
911,911,15096
912,912,15384
913,913,15512
914,914,14654
915,915,15123
916,916,15644
917,917,15388
918,918,14969
919,919,15006
920,920,14340
921,921,15901
922,922,14927
923,923,15960
924,924,15824
925,925,15423
926,926,14682
927,927,15121
928,928,15816
929,929,15041
930,930,16347
931,931,15756
932,932,15789
933,933,15884
934,934,15274
935,935,15512
936,936,15771
937,937,15597
938,938,15216
939,939,15528
940,940,14824
941,941,14748
942,942,15382
943,943,15635
944,944,15304
945,945,15427
946,946,15070
947,947,14294
948,948,14929
949,949,15680
950,950,15226
951,951,15862
952,952,15113
953,953,14422
954,954,14571
955,955,14847
956,956,15878
957,957,15654
958,958,15549
959,959,15595
960,960,14942
961,961,15347
962,962,14829
963,963,15601
964,964,15423
965,965,15456
966,966,15159
967,967,15427
968,968,15124
969,969,15428
970,970,16082
971,971,16108
972,972,15453
973,973,15319
974,974,15050
975,975,15025
976,976,15526
977,977,14255
978,978,14736
979,979,15559
980,980,14609
981,981,15373
982,982,15777
983,983,15557
984,984,15424
985,985,14907
986,986,14644
987,987,15964
988,988,14867
989,989,14974
990,990,14853
991,991,16594
992,992,16471
993,993,15878
994,994,15713
995,995,15426
996,996,14823
997,997,14163
998,998,15819
999,999,15023
